,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
59,31.0,76.0,36.0,30.0,31.0,32.0,39.0,47.0,53.0,23.0,21.0,29.0,32.0,44.0,46.0,14.0,15.0,18.0,25.0,30.0,36.0,43.0,7.0,16.0,20.0,27.0,48.0,4.0,25.0,68.0,40.0,27.0,25.0,17.0,22.0,21.0,27.0,13.0,31.0,39.0,13.0
60,26.0,66.0,30.0,25.0,25.0,26.0,34.0,47.0,53.0,18.0,16.0,24.0,28.0,44.0,45.0,1.0,10.0,13.0,19.0,29.0,35.0,43.0,8.0,19.0,20.0,28.0,48.0,14.0,26.0,59.0,39.0,22.0,26.0,12.0,17.0,16.0,22.0,8.0,26.0,34.0,2.0
61,25.0,66.0,30.0,24.0,25.0,26.0,33.0,46.0,52.0,17.0,15.0,23.0,27.0,43.0,45.0,1.0,9.0,12.0,19.0,28.0,35.0,42.0,8.0,18.0,20.0,28.0,47.0,14.0,25.0,59.0,39.0,21.0,25.0,11.0,16.0,16.0,21.0,7.0,25.0,33.0,2.0
62,24.0,66.0,29.0,23.0,24.0,25.0,33.0,45.0,51.0,16.0,14.0,22.0,26.0,42.0,44.0,6.0,8.0,11.0,18.0,27.0,34.0,41.0,13.0,17.0,19.0,27.0,46.0,14.0,25.0,59.0,38.0,20.0,24.0,10.0,15.0,15.0,20.0,6.0,25.0,32.0,7.0
63,24.0,66.0,28.0,23.0,23.0,24.0,32.0,44.0,51.0,16.0,14.0,22.0,26.0,41.0,43.0,5.0,8.0,11.0,17.0,27.0,33.0,41.0,12.0,17.0,18.0,26.0,45.0,13.0,24.0,58.0,37.0,20.0,24.0,9.0,15.0,14.0,20.0,6.0,24.0,32.0,6.0
64,24.0,66.0,28.0,23.0,23.0,24.0,32.0,44.0,51.0,16.0,14.0,22.0,26.0,41.0,43.0,6.0,8.0,11.0,17.0,27.0,33.0,41.0,12.0,17.0,18.0,26.0,45.0,13.0,24.0,58.0,37.0,20.0,24.0,9.0,15.0,14.0,20.0,6.0,24.0,32.0,6.0
65,22.0,67.0,27.0,21.0,22.0,23.0,30.0,43.0,49.0,14.0,12.0,20.0,24.0,40.0,42.0,7.0,6.0,9.0,16.0,25.0,31.0,39.0,13.0,14.0,16.0,25.0,44.0,9.0,22.0,60.0,36.0,18.0,22.0,8.0,13.0,12.0,18.0,4.0,22.0,30.0,8.0
66,23.0,67.0,27.0,21.0,22.0,23.0,31.0,43.0,49.0,14.0,12.0,20.0,24.0,40.0,42.0,7.0,6.0,9.0,16.0,25.0,32.0,39.0,13.0,14.0,17.0,25.0,44.0,9.0,23.0,60.0,36.0,18.0,22.0,8.0,13.0,13.0,18.0,4.0,23.0,30.0,8.0
67,23.0,68.0,27.0,22.0,22.0,23.0,31.0,44.0,50.0,15.0,13.0,21.0,25.0,41.0,42.0,8.0,7.0,10.0,16.0,26.0,32.0,40.0,12.0,14.0,17.0,25.0,45.0,8.0,23.0,61.0,36.0,19.0,23.0,9.0,14.0,13.0,19.0,5.0,23.0,31.0,8.0
68,34.0,69.0,39.0,33.0,34.0,35.0,42.0,50.0,56.0,26.0,24.0,32.0,35.0,47.0,49.0,8.0,18.0,21.0,28.0,33.0,39.0,46.0,1.0,19.0,23.0,30.0,51.0,5.0,28.0,62.0,43.0,30.0,28.0,20.0,25.0,24.0,30.0,16.0,34.0,42.0,7.0
69,34.0,70.0,38.0,32.0,33.0,34.0,42.0,49.0,56.0,25.0,24.0,32.0,35.0,47.0,48.0,8.0,17.0,21.0,27.0,33.0,38.0,46.0,1.0,19.0,23.0,30.0,50.0,4.0,28.0,62.0,42.0,30.0,27.0,19.0,25.0,24.0,30.0,16.0,34.0,42.0,7.0
70,33.0,71.0,37.0,31.0,32.0,33.0,41.0,48.0,55.0,24.0,23.0,31.0,34.0,46.0,47.0,9.0,16.0,20.0,26.0,32.0,37.0,45.0,2.0,18.0,22.0,29.0,49.0,3.0,27.0,63.0,41.0,29.0,26.0,18.0,24.0,23.0,29.0,15.0,33.0,41.0,8.0
71,32.0,71.0,37.0,31.0,32.0,33.0,40.0,48.0,54.0,24.0,22.0,30.0,33.0,45.0,47.0,9.0,16.0,19.0,26.0,32.0,37.0,44.0,3.0,17.0,21.0,29.0,49.0,3.0,26.0,64.0,41.0,28.0,26.0,18.0,23.0,23.0,28.0,14.0,32.0,40.0,9.0
72,32.0,72.0,36.0,30.0,31.0,32.0,40.0,47.0,54.0,23.0,21.0,29.0,32.0,44.0,46.0,10.0,15.0,18.0,25.0,31.0,36.0,43.0,4.0,16.0,20.0,28.0,48.0,2.0,26.0,64.0,40.0,27.0,25.0,17.0,22.0,22.0,27.0,13.0,32.0,39.0,10.0
73,31.0,73.0,35.0,29.0,30.0,31.0,39.0,46.0,53.0,22.0,20.0,28.0,31.0,43.0,45.0,11.0,14.0,18.0,24.0,30.0,35.0,43.0,4.0,15.0,19.0,27.0,47.0,1.0,25.0,65.0,39.0,27.0,24.0,16.0,22.0,21.0,26.0,12.0,31.0,39.0,10.0
74,30.0,75.0,35.0,29.0,30.0,31.0,38.0,46.0,52.0,22.0,20.0,28.0,31.0,43.0,45.0,13.0,14.0,17.0,24.0,29.0,35.0,42.0,6.0,15.0,19.0,26.0,47.0,3.0,24.0,67.0,39.0,26.0,24.0,16.0,21.0,20.0,26.0,12.0,30.0,38.0,12.0
75,44.0,56.0,48.0,42.0,43.0,44.0,52.0,64.0,71.0,35.0,33.0,41.0,45.0,61.0,63.0,23.0,27.0,30.0,37.0,46.0,53.0,60.0,26.0,36.0,38.0,46.0,65.0,30.0,44.0,48.0,57.0,40.0,43.0,29.0,35.0,34.0,39.0,25.0,44.0,52.0,22.0
76,46.0,60.0,50.0,44.0,45.0,46.0,54.0,66.0,72.0,37.0,35.0,43.0,47.0,63.0,65.0,24.0,29.0,32.0,39.0,48.0,55.0,62.0,28.0,38.0,40.0,48.0,67.0,32.0,46.0,53.0,59.0,41.0,45.0,31.0,36.0,36.0,41.0,27.0,46.0,53.0,24.0
77,44.0,58.0,48.0,42.0,43.0,44.0,52.0,64.0,71.0,35.0,34.0,42.0,45.0,61.0,63.0,23.0,27.0,31.0,37.0,47.0,53.0,61.0,26.0,37.0,38.0,46.0,65.0,31.0,44.0,51.0,57.0,40.0,43.0,29.0,35.0,34.0,40.0,26.0,44.0,52.0,23.0
78,27.0,60.0,31.0,26.0,27.0,28.0,35.0,48.0,54.0,19.0,17.0,25.0,29.0,45.0,47.0,8.0,11.0,14.0,21.0,30.0,36.0,44.0,14.0,20.0,21.0,30.0,49.0,16.0,27.0,53.0,40.0,23.0,27.0,13.0,18.0,17.0,23.0,9.0,27.0,35.0,8.0
79,27.0,61.0,31.0,26.0,26.0,28.0,35.0,48.0,54.0,19.0,17.0,25.0,29.0,45.0,47.0,7.0,11.0,14.0,20.0,30.0,36.0,44.0,14.0,20.0,21.0,29.0,49.0,16.0,27.0,53.0,40.0,23.0,27.0,13.0,18.0,17.0,23.0,9.0,27.0,35.0,8.0
80,26.0,61.0,30.0,25.0,25.0,26.0,34.0,46.0,53.0,18.0,16.0,24.0,28.0,43.0,45.0,6.0,9.0,13.0,19.0,29.0,35.0,43.0,13.0,19.0,20.0,28.0,47.0,15.0,26.0,54.0,39.0,22.0,26.0,11.0,17.0,16.0,22.0,8.0,26.0,34.0,7.0
81,25.0,62.0,30.0,24.0,25.0,26.0,34.0,46.0,52.0,17.0,15.0,23.0,27.0,43.0,45.0,6.0,9.0,12.0,19.0,28.0,35.0,42.0,12.0,18.0,20.0,28.0,47.0,15.0,26.0,55.0,39.0,21.0,25.0,11.0,16.0,16.0,21.0,7.0,26.0,33.0,7.0
